time,value
68,-3.04E+04
h 14,-3.46E+04
m 31,-3.51E+04
m 32,-3.39E+04
m 33,-3.30E+04
m 34,-3.48E+04
m 35,-3.91E+04
m 36,-3.74E+04
m 37,-3.39E+04
m 38,-3.41E+04
m 39,-3.59E+04
m 40,-3.52E+04
Fri,-4.04E+04
Jul,-3.51E+04
2,-2.86E+04
2004,-2.90E+04
d184,-2.93E+04
JD 2,-3.24E+04
4531,-3.14E+04
88.5,-3.28E+04
68,-3.36E+04
h 14,-3.41E+04
m 51,-3.57E+04
m 52,-3.63E+04
m 53,-3.60E+04
m 54,-3.23E+04
m 55,-2.70E+04
m 56,-2.39E+04
m 57,-3.08E+04
m 58,-3.58E+04
m 59,-3.78E+04
m  0,-3.77E+04
Fri,-3.50E+04
Jul,-3.13E+04
2,-3.48E+04
2004,-3.60E+04
d184,-3.78E+04
JD 2,-4.35E+04
4531,-3.74E+04
88.5,-3.05E+04
68,-2.98E+04
h 15,-2.93E+04
m 11,-3.36E+04
m 12,-3.17E+04
m 13,-3.13E+04
m 14,-3.04E+04
m 15,-3.05E+04
m 16,-2.78E+04
m 17,-3.05E+04
m 18,-3.52E+04
m 19,-3.09E+04
m 20,-2.42E+04
Fri,-2.45E+04
Jul,-2.60E+04
2,-2.71E+04
2004,-3.08E+04
d184,-3.35E+04
JD 2,-3.58E+04
4531,-3.42E+04
88.5,-2.89E+04
68,-2.77E+04
h 15,-2.83E+04
m 31,-2.75E+04
m 32,-2.62E+04
m 33,-2.33E+04
m 34,-3.02E+04
m 35,-2.98E+04
m 36,-2.35E+04
m 37,-2.92E+04
m 38,-3.05E+04
m 39,-2.21E+04
m 40,-2.14E+04
Fri,-2.70E+04
Jul,-3.11E+04
2,-2.96E+04
2004,-2.85E+04
d184,-2.94E+04
JD 2,-2.90E+04
4531,-2.82E+04
88.5,-2.11E+04
68,-2.41E+04
h 15,-3.02E+04
m 51,-3.11E+04
m 52,-2.82E+04
m 53,-2.17E+04
m 54,-1.85E+04
m 55,-2.31E+04
m 56,-2.81E+04
m 57,-3.19E+04
m 58,-3.03E+04
m 59,-2.09E+04
m  0,-2.47E+04
Fri,-3.50E+04
Jul,-3.45E+04
2,-2.87E+04
2004,-2.22E+04
d184,-1.32E+04
JD 2,-1.01E+04
4531,-1.67E+04
88.5,-2.51E+04
68,-2.62E+04
h 16,-1.88E+04
m 11,-2.21E+04
m 12,-2.57E+04
m 13,-2.27E+04
m 14,-2.33E+04
m 15,-2.55E+04
m 16,-2.25E+04
m 17,-2.20E+04
m 18,-2.17E+04
m 19,-2.25E+04
m 20,-2.46E+04
Fri,-2.34E+04
Jul,-2.27E+04
2,-1.81E+04
2004,-1.66E+04
d184,-1.96E+04
JD 2,-2.01E+04
4531,-1.93E+04
88.5,-1.76E+04
68,-1.43E+04
h 16,-1.27E+04
m 31,-1.63E+04
m 32,-1.65E+04
m 33,-1.43E+04
m 34,-1.33E+04
m 35,-1.34E+04
m 36,-1.38E+04
m 37,-1.28E+04
m 38,-1.37E+04
m 39,-1.62E+04
m 40,-1.94E+04
Fri,-1.66E+04
Jul,-1.31E+04
2,-1.48E+04
2004,-1.25E+04
d184,-9.43E+03
JD 2,-1.43E+04
4531,-1.45E+04
88.5,-2.19E+04
68,-2.44E+04
h 16,-1.38E+04
m 51,-3.57E+03
m 52,-5.49E+03
m 53,-1.06E+04
m 54,-1.34E+04
m 55,-1.31E+04
m 56,-9.95E+03
m 57,-1.35E+04
m 58,-1.26E+04
m 59,-1.14E+04
m  0,-7.49E+03
Fri,-7.30E+03
Jul,-1.18E+04
2,-7.48E+03
2004,-2.66E+03
d184,-5.31E+03
JD 2,-1.17E+04
4531,-1.49E+04
88.5,-7.93E+03
68,-1.76E+03
h 17,-2.42E+03
m 11,-2.91E+03
m 12,-6.21E+03
m 13,-9.09E+03
m 14,-6.57E+03
m 15,-8.55E+03
m 16,-5.77E+03
m 17,-4.99E+03
m 18,-7.00E+03
m 19,-4.24E+03
m 20,-4.41E+03
Fri,-6.40E+03
Jul,-8.31E+03
2,-1.15E+04
2004,-4.52E+03
d184,1.93E+03
JD 2,3.72E+03
4531,-3.76E+03
88.5,-3.05E+03
68,5.50E+03
h 17,6.19E+03
m 31,6.89E+02
m 32,-7.69E+02
m 33,1.22E+02
m 34,-1.30E+03
m 35,-3.23E+03
m 36,6.10E+02
m 37,-5.18E+02
m 38,-1.40E+03
m 39,2.90E+03
m 40,-1.49E+02
Fri,7.45E+02
Jul,9.44E+02
2,9.54E+02
2004,3.73E+03
d184,6.00E+03
JD 2,7.42E+03
4531,4.03E+03
88.5,1.14E+03
68,3.46E+03
h 17,5.92E+03
m 51,3.94E+03
m 52,2.42E+03
m 53,3.48E+03
m 54,1.16E+04
m 55,9.12E+03
m 56,6.16E+03
m 57,2.44E+03
m 58,3.44E+03
m 59,4.98E+03
m  0,3.31E+03
Fri,4.65E+03
Jul,3.71E+03
2,6.69E+03
2004,3.21E+03
d184,-1.51E+02
JD 2,9.38E+03
4531,8.98E+03
88.5,1.84E+03
68,5.74E+03
h 18,9.41E+03
m 11,1.10E+04
m 12,1.09E+04
m 13,1.03E+04
m 14,9.50E+03
m 15,6.53E+03
m 16,8.75E+03
m 17,8.27E+03
m 18,3.89E+03
m 19,4.12E+03
m 20,2.04E+03
Fri,1.56E+03
Jul,1.16E+04
2,1.43E+04
2004,1.42E+04
d184,1.50E+04
JD 2,1.21E+04
4531,9.78E+03
88.5,1.04E+04
68,9.71E+03
h 18,1.06E+04
m 31,1.34E+04
m 32,1.20E+04
m 33,1.63E+04
m 34,2.01E+04
m 35,1.74E+04
m 36,1.56E+04
m 37,1.45E+04
